Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
,,,,1717071,Slide Lifter (OE) ,Pcs,1,P/N-F3601-380-10-00),,,,,,,,,
,,,,1717054,Bracket Upper Right ,Pcs,1,P/N-F2301-01011-00,,,,,,,,,
,,,,,Gear Double Carier 1.75m 60T,Pcs,1,P/N- F025403011-00,,,,,,,,,
,,,,,Shaft Complete for Bobbin ,Pcs,,P/N-F03011/20020/00,,,,,,,,,
,,,,,Fluted Roller Botom -MP-F4107-01080-00,Pcs,1,,,,,,,,,,
,,,,1717075,Slide Bar,Pcs,5,,,,,,,,,,
,,,,,Lifting Bracket,Pcs,1,,,,,,,,,,
,,,,,Bracket Reversing,Pcs,1,P/N- F2301-34011-00,,,,,,,,,
,,,,,Fluted  Botom GE Third ,Pcs,1,P/N-F4106-07010-00,,,,,,,,,
605005,600000,,,605005,Graphite Powder,kg,10,,,,,,,,,,
,,,,,Suction Plate for Bottom Clearer ,Pcs,10,,,,,,,,,,
,,,,,Bevel Gear with Shaft,pcs,2,,,,,,,,,,
1700000,1715000,,,1715003,Coiler Drive Shaft,Pcs,1,,,,,,,,,,
,,,,1724001,Nylon Coupling -12T,Pcs,4,,,,,,,,,,
,,,,,Bearing Neck for Bottom Roller,Pcs,1,,,,,,,,,,
,,,,,Snap Ring,Pcs,6,,,,,,,,,,
,,,,1717031,Condencer Assy (F4131-11030-00),Pcs,100,,,,,,,,,,
,,,,1717017,Arm Pressure Spring ,Pcs,2,,,,,,,,,,
,,,,1717076,Stud Bobbin wheel ,Pcs,10,,,,,,,,,,
,,,,,P/N-30512-16010-0A,,,,,,,,,,,,
,,,,1717066,Screw for Adjusting Clatch ,Pcs,1,,,,,,,,,,
