Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
,,,,,Flat Belt-1002x20x2mm,Pcs,5,,,,,,,,,,
,,,,,Flat Belt-960x20x2mm,Pcs,1,,,,,,,,,,
,,,,17.02.345,Flat Belt-1960x22x2mm,Pcs,2,,,,,,,,,,
,,,,,Flat Belt-1512x20x2mm,Pcs,2,,,,,,,,,,
,,,,,Flat Belt-5100x20x2mm,Pcs,1,,,,,,,,,,
,,,,17.2.357,Flat Belt-882x20x2mm,Pcs,3,,,,,,,,,,
,,,,17.2.186,Flat Belt-955x16x2mm,Pcs,1,,,,,,,,,,
,,,,17.02.021,Flat Belt-1750x32x5mm,Pcs,3,,,,,,,,,,
,,,,,Flat Belt-3270x30x3mm,Pcs,2,,,,,,,,,,
,,,,17.02.176,Flat Belt-8000x15L,Pcs,1,,,,,,,,,,
,,,,17.02.149,Flat Belt-5910x15x1.5m,Pcs,2,,,,,,,,,,
,,,,,Cone Drum Belt-2305x50x5mm,Pcs,1,,,,,,,,,,
,,,,17.02.331,Flat Belt-1000x12x2m,Pcs,2,,,,,,,,,,
,,,,17.02.013,V- Belt A32,Pcs,5,,,,,,,,,,
,,,,,V- Belt XPZ2000,Pcs,2,,,,,,,,,,
,,,,17.02.250,V- Belt A30,Pcs,3,,,,,,,,,,
,,,,17.02.132,V- Belt 3B 750,Pcs,6,,,,,,,,,,
,,,,17.02.023,V- Belt A71,Pcs,1,,,,,,,,,,
,,,,17.02.016,V- Belt A28,Pcs,4,,,,,,,,,,
,,,,17.02.058,V- Belt A72,Pcs,1,,,,,,,,,,
,,,,17.02.045,Poly Band Roup 380 J3,Pcs,5,,,,,,,,,,
,,,,17.2.133,Poly Band Roup 280 J3,Pcs,4,,,,,,,,,,
,,,,17.02.147,Poly Band Roup 230-235 J3,Pcs,4,,,,,,,,,,
,,,,17.02.216,V Belt  Roup Type 370-J3,Pcs,4,,,,,,,,,,
,,,,17.13.009,Fiber Gear 16Teeth R- Side,Pcs,13,,,,,,,,,,
,,,,,Reset Col Big,Pcs,100,,,,,,,,,,
,,,,,Reset Col Small,Pcs,100,,,,,,,,,,
900000,918000,,,09.18.005,Coper Brass,Pcs,14,,,,,,,,,,
,,,,,Lock Tite 638,Pcs,1,,,,,,,,,,
,,,,,V Revit Belt- 1753 8PJ,Pcs,1,,,,,,,,,,
,,,,,Gear Reversing Bevel -2.5m-100T,Pcs,1,P/N-FO226-19-010-00,,,,,,,,,
,,,,,Gear Defferencial Bevel -2.5m-100,Pcs,1,,,,,,,,,,
,,,,,Arm Revolbing ,Pcs,1, (P/N-FO240-07010-00,,,,,,,,,
,,,,,Pine on Differencial -2.5m 29T,Pcs,1,P/N-FO212-32-010-00,,,,,,,,,
,,,,,Gear Complete Under Carier(3m-55T) ,Pcs,1,,,,,,,,,,
,,,,,Gear  Carier Twist -52T ,Pcs,1,,,,,,,,,,
,,,,,P/N-FO301-28-010-00,,,,,,,,,,,,
,,,,17.17.055,Liver Sweing ,Pcs,1,(P/N- F2301-07011-00),,,,,,,,,
,,,,17.17.071,Slide Lifter (OE) ,Pcs,1,P/N-F3601-380-10-00),,,,,,,,,
,,,,17.17.071,Slide Lifter (OE) ,Pcs,1,P/N-F3601-380-10-00),,,,,,,,,
,,,,17.17.054,Bracket Upper Right ,Pcs,1,P/N-F2301-01011-00,,,,,,,,,
,,,,,Gear Double Carier 1.75m 60T,Pcs,1,P/N- F025403011-00,,,,,,,,,
